name,slug,number,lyrics,composition,arrangement,choreography,note
朝焼けと車窓,asayake-to-shasou,,,,,,
ルミナス,luminous,,,,,,
"Dear,History",dear-history,,,,,,
Moving Lights!,moving-lights,,,,,,
Blooming,blooming,,,,,,
ラブストーリーが始まらない,love-story-ga-hajimaranai,,,,,,
SE,se,,,,,,
プライマリ,primary,,,,,,
Begin the Journey!,begin-the-journey,,,,,,
スタンドバイミー,stand-by-me,,,,,,
Interlude,interlude,,,,,,
描きかけの空,egakikake-no-sora,11,OverNote',OverNote',OverNote',ミミミユ,https://x.com/Drawry0920/status/2036745128799539403
タイムカプセル,time-capsule,,,,,,
Into the Blue,into-the-blue,,,,,,
SE(Moving Lights!),se-moving-lights,,,,,,
SE(Draw a Story),se-draw-a-story,,,,,,
SE(スタンドバイミー),se-stand-by-me,,,,,,
Draw a line,draw-a-line,,,,,,
銀幕,ginmaku,,,,,,
SE(プライマリ),se-primary,,,,,,
Fly By,fly-by,,,,,,
SE(ラブストーリーが始まらない),se-love-story-ga-hajimaranai,,,,,,
